Fecha,Hora,Sesion,Direccion,Contexto HTF,Nivel de liquidez barrido,Tipo de confirmacion,Zona de entrada,Stop Loss,Take Profit,R:R,Resultado
2025-09-30,05:59:59,LONDON,BUY,"BULLISH HTF context inside 112656.27-113608.32 range. HH/HL structure with price in discount below 112992.89.","Sell-side sweep below 112731.41",BOS,"FVG: Bullish FVG between 112870.19 and 112906.15",112656.27,113800.00,3.93,"TP"
2025-10-02,09:14:59,NEW_YORK,SELL,"BEARISH HTF context inside 118710.18-119761.36 range. LH/LL structure with price in premium above 119347.30.","Buy-side sweep above 119408.00",BOS,"FVG: Bearish FVG between 119539.90 and 119588.10",119421.98,118995.92,4.00,"SL"
2025-10-02,09:19:59,NEW_YORK,SELL,"BEARISH HTF context inside 118710.18-119761.36 range. LH/LL structure with price in premium above 119347.30.","Buy-side sweep above 119408.00",BOS,"FVG: Bearish FVG between 119539.90 and 119588.10",119421.98,118995.92,4.00,"SL"
2025-10-02,09:24:59,NEW_YORK,SELL,"BEARISH HTF context inside 118710.18-119761.36 range. LH/LL structure with price in premium above 119347.30.","Buy-side sweep above 119408.00",BOS,"FVG: Bearish FVG between 119539.90 and 119588.10",119421.98,118995.92,4.00,"SL"
2025-10-02,11:44:59,NEW_YORK,SELL,"BEARISH HTF context inside 118516.39-120300.00 range. LH/LL structure with price in premium above 119660.45.","Buy-side sweep above 119910.79",BOS,"FVG: Bearish FVG between 119999.54 and 120000.01",119992.03,119968.80,4.00,"TP"
2025-10-02,11:49:59,NEW_YORK,SELL,"BEARISH HTF context inside 118516.39-120300.00 range. LH/LL structure with price in premium above 119660.45.","Buy-side sweep above 119910.79",BOS,"FVG: Bearish FVG between 119999.54 and 120000.01",119992.03,119968.80,4.00,"TP"
2025-10-02,11:54:59,NEW_YORK,SELL,"BEARISH HTF context inside 118516.39-120300.00 range. LH/LL structure with price in premium above 119660.45.","Buy-side sweep above 119910.79",BOS,"FVG: Bearish FVG between 119999.54 and 120000.01",119992.03,119968.80,4.00,"TP"
2025-10-05,05:29:59,LONDON,BUY,"BULLISH HTF context inside 122520.24-124838.37 range. HH/HL structure with price in discount below 123592.80.","Sell-side sweep below 122601.00",BOS,"FVG: Bullish FVG between 122940.00 and 122961.40",122520.24,124672.54,4.00,"SL"
2025-10-05,11:54:59,NEW_YORK,SELL,"BEARISH HTF context inside 122675.00-123286.87 range. LH/LL structure with price in premium above 122893.50.","Buy-side sweep above 123325.78",BOS,"FVG: Bearish FVG between 122906.20 and 122979.63",123326.04,122176.67,2.00,"SL"
2025-10-06,02:04:59,LONDON,SELL,"BEARISH HTF context inside 123294.93-124165.56 range. LH/LL structure with price in premium above 123811.27.","Buy-side sweep above 123839.08",BOS,"FVG: Bearish FVG between 124002.23 and 124044.23",123855.46,123352.15,4.00,"SL"
